Trade_ID,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Holding_Weeks,Holding_Days,Trade_Return_%,Cumulative_Return_%,Winning_Trade
29,2009-06-26,2009-08-28,98.35475441297568,101.34043672231633,9,63,3.0356258090018198,3.0356258090018517,Yes
30,2009-09-11,2009-09-18,101.33598469329816,101.2536932422838,1,7,-0.08120654401634145,-0.08120654401634342,No
31,2009-09-25,2009-10-09,101.58312014143534,101.7949845036816,2,14,0.20856256625242336,0.20856256625243486,Yes
32,2009-10-16,2009-11-06,102.2155926053034,102.81247208521935,3,21,0.58394171055756,0.5839417105575562,Yes
33,2009-11-13,2009-11-27,102.88710146821673,103.0450192920568,2,14,0.15348651248462186,0.15348651248461298,Yes
34,2009-12-04,2010-01-22,103.08481393986835,104.38347548155052,7,49,1.2597990839268556,1.2597990839268158,Yes
35,2010-02-12,2010-04-09,104.32094882690303,104.98344999880632,8,56,0.6350605313248803,0.6350605313248936,Yes
36,2010-04-16,2010-04-23,104.99341267910924,104.83874648963246,1,7,-0.14731037455605953,-0.14731037455606444,No
37,2010-06-04,2010-06-11,103.24750235047716,103.08979904861648,1,7,-0.1527429703096828,-0.15274297030968276,No
38,2010-06-18,2010-07-23,103.34983214215043,103.74430193954144,5,35,0.38168402329715007,0.38168402329714635,Yes
39,2010-07-30,2010-08-13,104.1986502281934,104.07409862172756,2,14,-0.11953284058198174,-0.11953284058199287,No
40,2010-08-20,2010-08-27,104.17098312743732,103.62329845823798,1,7,-0.5257554961628161,-0.5257554961628164,No
41,2010-09-03,2010-10-15,103.92700555887288,104.51711049531984,6,42,0.5678071193080594,0.5678071193080836,Yes
42,2010-10-29,2010-11-26,104.55641503283304,104.8282303845593,4,28,0.2599700378412024,0.2599700378412173,Yes
43,2010-12-03,2010-12-10,104.83780101254835,104.52485637322538,1,7,-0.2985036277950175,-0.2985036277950215,No
44,2010-12-17,2011-01-14,104.7329771888732,105.25616335380693,4,28,0.49954291282125624,0.4995429128212381,Yes
45,2011-01-21,2011-02-04,105.31619826257804,105.51919929575578,2,14,0.19275385603230052,0.19275385603230166,Yes
46,2011-02-11,2011-02-25,105.97789764364208,105.95514212075048,2,14,-0.021471951602698634,-0.021471951602702877,No
47,2011-04-08,2011-04-22,105.86168257532604,105.92085597023356,2,14,0.05589689627822871,0.055896896278229136,Yes
48,2011-04-29,2011-05-06,105.94346755727238,105.77510568517025,1,7,-0.1589167090562932,-0.1589167090562893,No
49,2011-05-27,2011-06-03,105.93228994020586,105.69460246775265,1,7,-0.22437679067202396,-0.22437679067202065,No
50,2011-07-01,2011-07-15,105.8405639287752,105.7508698293106,2,14,-0.0847445404060334,-0.0847445404060454,No
51,2011-07-22,2011-07-29,106.1136732791679,105.87445504366686,1,7,-0.22543582566564957,-0.22543582566565412,No
52,2011-10-28,2011-11-04,104.23498260439364,104.14381972885433,1,7,-0.08745900201787762,-0.0874590020178756,No
53,2011-12-09,2011-12-16,104.09439614937844,103.99885531253484,1,7,-0.09178288205495037,-0.09178288205494711,No
54,2011-12-23,2011-12-30,104.24263011587286,104.2261951629852,1,7,-0.01576605738878746,-0.015766057388788557,No
55,2012-01-06,2012-02-03,104.47216689904596,104.7401407849056,4,28,0.2565026588551536,0.2565026588551511,Yes
56,2012-02-10,2012-02-17,105.2925135627206,105.25254073235172,1,7,-0.03796360160503793,-0.037963601605039976,No
57,2012-03-02,2012-04-06,105.73637853327536,106.13569201670772,5,35,0.37765004719421247,0.37765004719418904,Yes
58,2012-04-27,2012-05-11,106.13177206950762,106.1188490635694,2,14,-0.01217637818179082,-0.012176378181794068,No
59,2012-06-08,2012-06-15,105.37592370218564,105.30382002037192,1,7,-0.06842519551003827,-0.06842519551003567,No
60,2012-06-22,2012-06-29,105.40373542010296,105.40275569386844,1,7,-0.0009294985899825621,-0.000929498589985478,No
61,2012-07-06,2012-07-27,105.59493420608165,105.81888294710444,3,21,0.2120828453623839,0.21208284536238242,Yes
62,2012-08-03,2012-10-19,106.2336281609926,107.63945296885193,11,77,1.3233331405464792,1.3233331405464899,Yes
63,2012-10-26,2012-11-09,107.716829453879,107.84261171072558,2,14,0.11677122088005107,0.11677122088005198,Yes
64,2012-11-16,2013-01-25,107.84375715661042,109.04083320490872,10,70,1.1100095915240684,1.1100095915240527,Yes
65,2013-02-01,2013-04-12,109.13573770891624,109.731512263531,10,70,0.545902347958463,0.5459023479584602,Yes
66,2013-04-26,2013-06-07,109.73568502302682,110.20425498498015,6,42,0.42699871227396174,0.4269987122739405,Yes
67,2013-07-05,2013-08-16,109.86702873264969,110.18870996364906,6,42,0.2927914176892441,0.2927914176892532,Yes
68,2013-09-06,2013-09-13,110.04070017663288,109.92611479006185,1,7,-0.10413000497734805,-0.10413000497734304,No
69,2013-09-27,2014-01-31,109.98130699543992,111.20074323520492,18,126,1.1087668196337794,1.1087668196337885,Yes
70,2014-02-14,2014-05-09,111.287208406915,112.02612609799348,12,84,0.6639736063615468,0.6639736063615231,Yes
71,2014-05-23,2014-07-25,112.1908293262166,112.5029236593715,9,63,0.27818167940218,0.27818167940218963,Yes
72,2014-08-29,2014-09-26,112.39299683714673,112.46829497349827,4,28,0.06699539870856278,0.06699539870858029,Yes
73,2014-10-31,2014-12-05,111.99993206415012,112.15073809333138,5,35,0.13464832201406268,0.13464832201406374,Yes
74,2014-12-26,2015-01-09,111.91371327306511,111.90928571972258,2,14,-0.003956220567657058,-0.0039562205676579865,No
75,2015-02-13,2015-03-20,111.86658933015931,112.35691100044085,5,35,0.4383093050548027,0.43830930505481813,Yes
76,2015-03-27,2015-04-03,112.37025984936592,112.30871453583828,1,7,-0.05477010875488569,-0.05477010875488686,No
77,2015-04-10,2015-05-15,112.36680620973712,112.62627362109708,5,35,0.23091108496548127,0.2309110849654683,Yes
78,2015-05-22,2015-06-12,112.61934395195532,112.60372700776676,3,21,-0.013867017548258262,-0.013867017548274685,No
79,2015-07-17,2015-07-24,112.09969041395446,112.0809030621715,1,7,-0.01675950371815018,-0.0167595037181556,No
80,2015-09-11,2015-10-02,111.34839337361603,111.06518372911265,3,21,-0.254345514939862,-0.2543455149398577,No
81,2015-10-23,2015-12-18,110.96963825702224,111.14747103130878,8,56,0.1602535405897743,0.16025354058977204,Yes
82,2016-01-01,2016-01-08,111.18313028028643,111.02643433562592,1,7,-0.14093499999999176,-0.1409349999999865,No
83,2016-02-19,2016-05-13,109.67557931568388,113.17705629562532,12,84,3.1925766900788313,3.1925766900787966,Yes
84,2016-06-10,2016-06-24,112.90135771113188,112.69844405104514,2,14,-0.1797265012577693,-0.1797265012577709,No
85,2016-07-08,2016-09-16,112.88925320373828,114.14895918164522,10,70,1.115877678483245,1.1158776784832236,Yes
86,2016-09-23,2016-09-30,114.2422129203365,114.1993329224813,1,7,-0.03753428505897041,-0.03753428505897105,No
87,2016-10-14,2016-11-11,114.26976743551388,114.7103750625016,4,28,0.38558547626025613,0.38558547626026396,Yes
88,2016-11-18,2017-05-19,114.95401955053522,117.34793577781868,26,182,2.0824989301318513,2.082498930131793,Yes
89,2017-05-26,2017-06-02,117.36575056988372,117.25050519119748,1,7,-0.0981933640151846,-0.09819336401518663,No
90,2017-06-09,2017-08-11,117.3333757450173,118.14879439814167,9,63,0.6949588281653064,0.6949588281652597,Yes
91,2017-08-25,2017-11-17,118.02175211145824,119.0103605980896,12,84,0.8376493900020519,0.8376493900020598,Yes
92,2017-11-24,2018-02-09,119.04782453532088,119.78542006463334,11,77,0.6195791751688976,0.6195791751689272,Yes
93,2018-03-16,2018-03-23,119.58536382037586,119.52600481940208,1,7,-0.049637346141243405,-0.04963734614124027,No
94,2018-04-13,2018-05-04,119.4361696570365,119.58108669488816,3,21,0.12133429786620577,0.12133429786620464,Yes
95,2018-05-11,2018-06-01,119.63229753890106,119.47155119524422,3,21,-0.1343670120558951,-0.13436701205588042,No
96,2018-06-08,2018-06-29,119.56815140613315,119.48671761229048,3,21,-0.0681065926712156,-0.06810659267121322,No
97,2018-07-06,2018-09-07,119.543785765265,119.87554188159734,9,63,0.27751849601264617,0.277518496012652,Yes
98,2018-09-14,2018-10-12,119.89560173151796,120.03230611512409,4,28,0.11401951500460529,0.11401951500460417,Yes
99,2018-11-09,2018-11-16,119.78070220770051,119.42956943490722,1,7,-0.29314636358069246,-0.29314636358068746,No
100,2018-12-14,2018-12-21,118.15875435315128,117.8970733421981,1,7,-0.2214656141102114,-0.2214656141102167,No
101,2019-01-11,2019-05-31,118.05001380600432,120.12610381515076,20,140,1.7586529151603076,1.7586529151602859,Yes
102,2019-06-07,2019-08-09,120.23144607942774,121.12166864582404,9,63,0.7404240699294273,0.740424069929424,Yes
103,2019-08-23,2019-08-30,120.79825870380272,120.815785739831,1,7,0.014509344932910041,0.014509344932900348,Yes
104,2019-09-06,2019-10-11,120.96039496652176,121.22122348139231,5,35,0.2156313353166075,0.21563133531656842,Yes
105,2019-10-18,2020-02-07,121.35860842486989,123.19390176145856,16,112,1.5122893714827506,1.5122893714827779,Yes
106,2020-02-14,2020-02-28,123.23797264928814,122.06307465008494,2,14,-0.9533571300679644,-0.9533571300679666,No
107,2020-03-27,2020-09-11,111.92602721833704,122.23362400240046,24,168,9.209293888325117,9.2092938883251,Yes
108,2020-09-18,2020-10-02,122.35165621324792,121.56725347459208,2,14,-0.6411051251228663,-0.641105125122865,No
109,2020-10-09,2021-01-29,121.76674945723856,125.05552281633608,16,112,2.700879652086347,2.7008796520863187,Yes
110,2021-02-12,2021-07-23,125.44188558666929,125.82183346671796,23,161,0.30288757082351475,0.3028875708235068,Yes
111,2021-07-30,2021-08-06,125.82180733935256,125.8354669748129,1,7,0.010856333849585715,0.010856333849584843,Yes
112,2021-08-13,2021-08-27,125.82120267746772,125.87499021369337,2,14,0.04274918303198976,0.04274918303199815,Yes
113,2021-09-03,2021-10-15,125.90470449310854,126.41890472983664,6,42,0.4084043076851397,0.4084043076851174,Yes
114,2021-10-22,2021-11-26,126.55472472843968,126.47640857274956,5,35,-0.061883233406076335,-0.06188323340607926,No
115,2021-12-17,2022-01-28,126.37550966423674,126.11922385032264,6,42,-0.20279705664097594,-0.2027970566409687,No
116,2022-02-11,2022-05-13,125.47039166606824,124.35830612585224,13,91,-0.886333042759401,-0.8863330427593574,No
117,2022-06-03,2022-06-17,124.36865741358432,124.31254500316328,2,14,-0.04511780667892575,-0.045117806678929284,No
118,2022-07-01,2022-09-09,124.24595344882069,125.16555719241774,10,70,0.7401478423004365,0.7401478423004315,Yes
119,2022-09-16,2022-09-30,125.14765099638367,124.37483755137424,2,14,-0.6175213348844755,-0.6175213348844744,No
120,2022-10-14,2022-10-21,124.4643811905732,124.15273489360284,1,7,-0.25038994609485105,-0.2503899460948533,No
121,2022-11-04,2023-03-03,124.41018409118784,127.07347635380368,17,119,2.1407349262209516,2.140734926220955,Yes
122,2023-03-10,2023-03-17,126.7559617708355,125.49569911765698,1,7,-0.994243296782338,-0.9942432967823378,No
123,2023-04-07,2023-08-25,126.05416956791368,128.27077898342463,20,140,1.7584578305573033,1.7584578305572807,Yes
124,2023-09-01,2023-10-06,128.34506894860434,128.26160479421443,5,35,-0.06503105656776281,-0.06503105656776587,No
125,2023-11-10,2024-04-26,128.33934747874926,131.7911380086912,24,168,2.6895808633540867,2.6895808633541574,Yes
126,2024-05-03,2024-06-21,131.92954015465793,131.8256682876447,7,49,-0.07873283488402893,-0.07873283488403215,No
127,2024-07-12,2024-07-26,131.98906260122322,131.90775901675437,2,14,-0.06159872861170102,-0.06159872861170035,No
128,2024-08-23,2024-09-13,131.71669884591634,131.86181058677994,3,21,0.11016958528041411,0.11016958528042853,Yes
129,2024-09-20,2024-11-01,132.238043606969,133.22165824904852,6,42,0.7438212296931465,0.7438212296931201,Yes
130,2024-11-15,2024-12-13,133.85667970688806,134.43576835793743,4,28,0.4326184186829011,0.4326184186828952,Yes
131,2024-12-20,2024-12-27,134.35334455605414,134.37522197280632,1,7,0.016283492476101506,0.016283492476110162,Yes
132,2025-01-03,2025-01-17,134.39158948617228,134.40489353495025,2,14,0.009899465307936523,0.009899465307938726,Yes
133,2025-01-24,2025-02-28,134.41575302352874,133.9308355561772,5,35,-0.3607594024092314,-0.36075940240922755,No
134,2025-05-02,2025-06-20,134.070684547062,135.35830156237873,7,49,0.9604016117816885,0.9604016117817249,Yes
135,2025-06-27,2025-08-08,135.50160785983138,136.42755353679902,6,42,0.6833466344735044,0.6833466344734473,Yes
136,2025-09-12,2025-09-26,136.01360353246952,136.21029392065213,2,14,0.1446108205902085,0.14461082059022967,Yes (Open)
